tipo_solo,temperatura,chuva,estacao,regiao,demanda_mercado,experiencia_agricultor,cultivo_recomendado
argiloso,alta,seca,primavera,centro-oeste,baixa,intermediário,soja
arenoso,alta,moderada,verão,centro-oeste,alta,intermediário,milho
arenoso,baixa,seca,verão,sul,alta,experiente,soja
arenoso,baixa,moderada,inverno,nordeste,alta,experiente,milho
misto,baixa,seca,verão,sul,alta,iniciante,milho
arenoso,média,seca,inverno,sudeste,alta,iniciante,soja
arenoso,baixa,úmida,outono,centro-oeste,baixa,intermediário,milho
arenoso,baixa,moderada,verão,sul,média,intermediário,arroz
misto,baixa,úmida,inverno,nordeste,alta,intermediário,milho
argiloso,alta,moderada,primavera,centro-oeste,baixa,iniciante,arroz
misto,baixa,moderada,primavera,norte,baixa,intermediário,milho
argiloso,baixa,moderada,primavera,sudeste,média,experiente,arroz
arenoso,baixa,moderada,primavera,nordeste,média,experiente,feijão
argiloso,baixa,moderada,verão,sul,média,intermediário,arroz
argiloso,baixa,úmida,primavera,nordeste,baixa,iniciante,mandioca
arenoso,alta,úmida,verão,sul,alta,iniciante,milho
argiloso,baixa,seca,verão,centro-oeste,média,experiente,arroz
misto,média,úmida,outono,nordeste,alta,intermediário,feijão
argiloso,média,seca,primavera,sudeste,alta,iniciante,arroz
misto,alta,úmida,outono,nordeste,média,experiente,feijão
argiloso,alta,seca,outono,centro-oeste,baixa,experiente,soja
arenoso,baixa,seca,inverno,sudeste,baixa,iniciante,milho
argiloso,média,úmida,outono,nordeste,baixa,intermediário,soja
misto,alta,úmida,primavera,sul,baixa,intermediário,mandioca
misto,alta,úmida,primavera,nordeste,baixa,iniciante,mandioca
arenoso,baixa,seca,outono,nordeste,média,experiente,soja
misto,baixa,seca,inverno,sul,alta,experiente,feijão
misto,baixa,moderada,primavera,sudeste,alta,experiente,arroz
argiloso,baixa,seca,outono,sul,alta,iniciante,milho
arenoso,baixa,moderada,outono,norte,baixa,iniciante,mandioca
arenoso,baixa,úmida,verão,nordeste,média,experiente,arroz
argiloso,média,úmida,verão,centro-oeste,alta,experiente,soja
argiloso,alta,úmida,primavera,nordeste,alta,iniciante,arroz
arenoso,alta,moderada,inverno,nordeste,baixa,intermediário,feijão
argiloso,média,úmida,inverno,norte,média,intermediário,soja
arenoso,baixa,moderada,inverno,sul,alta,intermediário,soja
misto,média,seca,primavera,sudeste,alta,iniciante,feijão
misto,baixa,moderada,outono,sudeste,média,iniciante,arroz
misto,baixa,seca,inverno,norte,média,iniciante,soja
argiloso,baixa,moderada,outono,norte,baixa,intermediário,arroz
argiloso,baixa,seca,inverno,centro-oeste,média,intermediário,feijão
argiloso,baixa,seca,inverno,centro-oeste,média,intermediário,feijão
arenoso,baixa,úmida,primavera,sul,baixa,iniciante,feijão
argiloso,média,úmida,outono,nordeste,alta,intermediário,arroz
misto,baixa,seca,primavera,centro-oeste,alta,experiente,soja
misto,média,moderada,outono,sudeste,média,experiente,milho
arenoso,média,úmida,verão,nordeste,alta,intermediário,soja
argiloso,alta,úmida,outono,sudeste,média,iniciante,milho
misto,baixa,úmida,inverno,sudeste,média,experiente,soja
misto,baixa,seca,verão,centro-oeste,baixa,experiente,soja
argiloso,média,seca,outono,sul,média,intermediário,arroz
arenoso,alta,moderada,primavera,nordeste,média,iniciante,milho
misto,média,seca,outono,sudeste,baixa,iniciante,soja
misto,alta,seca,primavera,sul,baixa,intermediário,arroz
misto,baixa,úmida,primavera,nordeste,média,iniciante,milho
argiloso,alta,seca,inverno,norte,alta,experiente,arroz
misto,média,seca,outono,sul,média,experiente,mandioca
misto,alta,úmida,inverno,centro-oeste,baixa,experiente,soja
arenoso,baixa,úmida,inverno,centro-oeste,baixa,experiente,soja
misto,média,úmida,inverno,centro-oeste,baixa,experiente,soja
misto,baixa,seca,verão,norte,média,intermediário,feijão
misto,baixa,moderada,outono,norte,baixa,experiente,feijão
misto,média,úmida,outono,nordeste,alta,experiente,feijão
arenoso,baixa,seca,verão,nordeste,média,intermediário,milho
misto,baixa,seca,verão,sul,alta,experiente,soja
argiloso,alta,moderada,verão,sudeste,alta,experiente,soja
argiloso,alta,seca,inverno,nordeste,alta,experiente,mandioca
misto,alta,moderada,outono,centro-oeste,baixa,iniciante,soja
misto,média,moderada,primavera,nordeste,alta,experiente,arroz
arenoso,alta,seca,inverno,norte,baixa,iniciante,mandioca
arenoso,alta,seca,primavera,centro-oeste,alta,iniciante,milho
arenoso,alta,seca,verão,norte,alta,intermediário,milho
arenoso,baixa,moderada,verão,norte,alta,intermediário,soja
arenoso,alta,seca,outono,nordeste,baixa,intermediário,milho
arenoso,baixa,seca,inverno,sul,média,intermediário,soja
arenoso,alta,moderada,verão,norte,alta,iniciante,milho
arenoso,baixa,moderada,inverno,nordeste,baixa,iniciante,mandioca
misto,alta,seca,verão,norte,baixa,intermediário,feijão
misto,alta,moderada,inverno,norte,baixa,intermediário,arroz
argiloso,baixa,moderada,inverno,norte,baixa,iniciante,mandioca
argiloso,média,úmida,outono,sul,média,experiente,feijão
arenoso,média,úmida,outono,norte,alta,iniciante,milho
argiloso,baixa,moderada,verão,nordeste,média,iniciante,arroz
arenoso,baixa,seca,inverno,sudeste,alta,intermediário,mandioca
misto,alta,úmida,verão,nordeste,baixa,intermediário,milho
misto,média,seca,inverno,nordeste,média,intermediário,feijão
argiloso,alta,úmida,verão,centro-oeste,alta,experiente,soja
arenoso,baixa,seca,inverno,sudeste,alta,experiente,mandioca
argiloso,média,moderada,verão,nordeste,baixa,intermediário,arroz
argiloso,alta,úmida,outono,sul,média,experiente,soja
argiloso,média,úmida,outono,sudeste,média,intermediário,arroz
misto,baixa,úmida,verão,sudeste,alta,intermediário,soja
arenoso,média,moderada,verão,sudeste,alta,experiente,soja
arenoso,média,seca,verão,nordeste,média,intermediário,milho
misto,alta,moderada,primavera,nordeste,baixa,iniciante,mandioca
arenoso,alta,seca,primavera,centro-oeste,baixa,intermediário,milho
misto,média,úmida,primavera,sul,alta,experiente,feijão
arenoso,média,moderada,primavera,centro-oeste,alta,iniciante,arroz
misto,baixa,seca,inverno,norte,média,experiente,feijão
arenoso,baixa,moderada,inverno,nordeste,média,intermediário,milho
